Name;Age;Points;Date;Rank;Birth_date;Turned_Pro;Weight;Height;Nationality;Birth_Country;Birth_City;Backhand;Strong_Hand
Grigor Dimitrov;31;1810;2022-08-15;18;1991-05-16;2008;81;191;Bulgarie;Bulgaria;Haskovo;One_Handed;Right_Handed
Roberto Bautista Agut;34;1760;2022-08-15;19;1988-04-14;2005;75;183;Espagne;Spain;Castellon de la Plana;Two_Handed;Right_Handed
Alex de Minaur;23;1665;2022-08-15;20;1999-02-17;2015;69;183;Australie;Australia;Sydney;Two_Handed;Right_Handed
Denis Shapovalov;23;1560;2022-08-15;21;1999-04-15;2017;75;185;Canada;Israel;Tel Aviv;One_Handed;Left_Handed
Gael Monfils;35;1525;2022-08-15;22;1986-09-01;2004;85;193;France;France;Paris;Two_Handed;Right_Handed
Daniel Evans;32;1520;2022-08-15;23;1990-05-23;2006;75;175;Angleterre;England;Birmingham;One_Handed;Right_Handed
Botic van de Zandschulp;26;1478;2022-08-15;24;1995-10-04;2016;85;191;Pays-Bas;Netherlands;Wageningen;Two_Handed;Right_Handed
Frances Tiafoe;24;1445;2022-08-15;25;1998-01-20;2015;86;188;Etats-Unis;MD;Hyattsville;Two_Handed;Right_Handed
Reilly Opelka;24;1410;2022-08-15;26;1997-08-28;2015;102;211;Etats-Unis;MI;St. Joseph;Two_Handed;Right_Handed
Francisco Cerundolo;24;1402;2022-08-15;27;1998-08-13;2018;80;185;Argentine;Argentina;Buenos Aires;Two_Handed;Right_Handed
Nick Kyrgios;27;1385;2022-08-15;28;1995-04-27;2013;85;193;Australie;Australia;Canberra;Two_Handed;Right_Handed
Holger Rune;19;1380;2022-08-15;29;2003-04-29;2020;77;188;Danemark;Denmark;Gentofte;Two_Handed;Right_Handed
Karen Khachanov;26;1350;2022-08-15;30;1996-05-21;2013;87;198;Russie;Russia;Moscow;Two_Handed;Right_Handed
Daniil Medvedev;26;7875;2022-08-08;1;1996-02-11;2014;83;198;Russie;Russia;Moscow;Two_Handed;Right_Handed
Alexander Zverev;25;6760;2022-08-08;2;1997-04-20;2013;90;198;Allemagne;Germany;Hamburg;Two_Handed;Right_Handed
Rafael Nadal;36;5620;2022-08-08;3;1986-06-03;2001;85;185;Espagne;Mallorca;Manacor;Two_Handed;Left_Handed
Carlos Alcaraz;19;5035;2022-08-08;4;2003-05-05;2018;74;183;Espagne;Murcia;El Palmar;Two_Handed;Right_Handed
Stefanos Tsitsipas;23;5000;2022-08-08;5;1998-08-12;2016;90;193;Grece;Greece;Athens;One_Handed;Right_Handed
Novak Djokovic;35;4770;2022-08-08;6;1987-05-22;2003;77;188;Serbie;Serbia;Belgrade;Two_Handed;Right_Handed
Casper Ruud;23;4685;2022-08-08;7;1998-12-22;2015;77;183;Norvege;Norway;Oslo;Two_Handed;Right_Handed
Andrey Rublev;24;3710;2022-08-08;8;1997-10-20;2014;75;188;Russie;Russia;Moscow;Two_Handed;Right_Handed
Felix Auger-Aliassime;21;3490;2022-08-08;9;2000-08-08;2017;88;193;Canada;Canada;Montreal;Two_Handed;Right_Handed
Hubert Hurkacz;25;3015;2022-08-08;10;1997-02-11;2015;81;196;Pologne;Poland;Wroclaw;Two_Handed;Right_Handed
Cameron Norrie;26;2985;2022-08-08;11;1995-08-23;2017;82;188;Angleterre;South Africa;Johannesburg;Two_Handed;Left_Handed
Jannik Sinner;20;2895;2022-08-08;12;2001-08-16;2018;76;188;Italie;Italy;San Candido;Two_Handed;Right_Handed
Taylor Fritz;24;2860;2022-08-08;13;1997-10-28;2015;86;196;Etats-Unis;CA;Rancho Santa Fe;Two_Handed;Right_Handed
Matteo Berrettini;26;2430;2022-08-08;14;1996-04-12;2015;95;196;Italie;Italy;Rome;Two_Handed;Right_Handed
