"Team","System_Team","Match_Number","Home_Away","Three_Or_Five_Def","Two_Strikers","Classification","Age","Mean_Value","Rank","Points","League","Rank_bis","Points_bis"
"1.FSV Mainz 05","3-4-2-1",1435,"Home","Yes","No","3_5d_1s",24.7,3.99,9,46,"Bundesliga",0.5,1.35294117647059
"VfB Stuttgart","3-4-2-1",1435,"Away","Yes","No","3_5d_1s",23.2,3.87,16,33,"Bundesliga",0.111111111111111,0.970588235294118
"FC Augsburg","4-3-3",1436,"Home","No","No","4d_1s",25,3.15,15,34,"Bundesliga",0.166666666666667,1
"Borussia Dortmund","4-3-3",1436,"Away","No","No","4d_1s",24.6,15.34,2,71,"Bundesliga",0.888888888888889,2.08823529411765
"Bayer 04 Leverkusen","3-4-2-1",1437,"Home","Yes","No","3_5d_1s",24.2,12.93,6,50,"Bundesliga",0.666666666666667,1.47058823529412
"Borussia Mönchengladbach","3-5-2",1437,"Away","Yes","Yes","3_5d_2s",25.4,6.91,10,43,"Bundesliga",0.444444444444444,1.26470588235294
"Borussia Dortmund","4-3-3",1438,"Home","No","No","4d_1s",24.6,15.34,2,71,"Bundesliga",0.888888888888889,2.08823529411765
"1.FSV Mainz 05","3-4-2-1",1438,"Away","Yes","No","3_5d_1s",24.7,3.99,9,46,"Bundesliga",0.5,1.35294117647059
"RB Leipzig","4-4-2",1439,"Home","No","Yes","4d_2s",25.6,16.77,3,66,"Bundesliga",0.833333333333333,1.94117647058824
"FC Schalke 04","4-2-3-1",1439,"Away","No","No","4d_1s",26.4,2.04,17,31,"Bundesliga",0.0555555555555556,0.911764705882353
"1.FC Union Berlin","3-5-2",1440,"Home","Yes","Yes","3_5d_2s",26.9,4.39,4,62,"Bundesliga",0.777777777777778,1.82352941176471
"SV Werder Bremen","3-1-4-2",1440,"Away","Yes","Yes","3_5d_2s",24.7,2.71,13,36,"Bundesliga",0.277777777777778,1.05882352941176
"1.FC Köln","4-2-3-1",1441,"Home","No","No","4d_1s",24.9,2.97,11,42,"Bundesliga",0.388888888888889,1.23529411764706
"Bayern Munich","4-2-3-1",1441,"Away","No","No","4d_1s",25.3,27.11,1,71,"Bundesliga",0.944444444444444,2.08823529411765
"Borussia Mönchengladbach","3-4-2-1",1442,"Home","Yes","No","3_5d_1s",25.4,6.91,10,43,"Bundesliga",0.444444444444444,1.26470588235294
"FC Augsburg","4-4-2",1442,"Away","No","Yes","4d_2s",25,3.15,15,34,"Bundesliga",0.166666666666667,1
"Eintracht Frankfurt","3-4-2-1",1443,"Home","Yes","No","3_5d_1s",25,9.02,7,50,"Bundesliga",0.611111111111111,1.47058823529412
"SC Freiburg","3-4-3",1443,"Away","Yes","No","3_5d_1s",26,6.93,5,59,"Bundesliga",0.722222222222222,1.73529411764706
